Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000_1,325.66,325.22,395.07,428.72,448.14,251.45,332.31,333.02,256.61,343.99,329.7,415.39,343.06,417.02,317.4,310.27,251.71,490.04,375.48,473.9,663.04,457.04,410.76,515.02,251.77,400.61,502.2,252.33,225.16
2000_2,326.65,326.23,395.28,428.82,448.19,251.99,333.3,334.02,257.02,344.82,330.68,415.5,343.89,417.07,317.73,310.62,252.28,489.7,376.0,473.86,662.86,456.89,410.85,514.89,252.31,400.84,502.14,252.83,225.62
2000_3,327.6,327.09,395.42,428.87,448.21,252.45,334.24,334.96,257.44,345.56,331.56,415.54,344.68,417.07,318.0,310.9,252.7,489.28,376.39,473.67,662.59,456.68,410.88,514.62,252.77,400.9,501.97,253.18,226.04
2000_4,328.49,327.96,395.43,428.77,448.07,252.85,335.13,335.84,257.75,346.31,332.42,415.43,345.41,416.9,318.14,311.06,252.95,488.71,376.74,473.39,662.09,456.31,410.82,514.27,253.16,401.04,501.66,253.42,226.43
2000_5,329.15,328.69,395.23,428.36,447.64,253.14,335.84,336.56,258.06,346.77,333.16,415.08,345.94,416.56,318.16,311.13,253.2,487.77,376.9,472.77,661.16,455.65,410.53,513.49,253.47,400.75,501.0,253.66,226.68
2000_6,329.8,329.36,395.02,428.02,447.28,253.45,336.49,337.25,258.36,347.29,333.84,414.78,346.47,416.3,318.2,311.19,253.51,486.97,377.03,472.19,660.22,455.06,410.22,512.81,253.76,400.64,500.4,253.96,226.94
2000_7,330.52,330.09,394.89,427.75,446.99,253.77,337.23,337.97,258.68,347.84,334.57,414.52,347.04,415.98,318.28,311.32,253.8,486.24,377.22,471.73,659.52,454.57,409.93,512.22,254.11,400.54,499.89,254.29,227.22
2000_8,331.24,330.73,394.76,427.44,446.63,254.06,337.93,338.65,259.02,348.36,335.25,414.23,347.55,415.65,318.35,311.44,254.13,485.5,377.36,471.17,658.73,454.03,409.65,511.61,254.39,400.38,499.36,254.61,227.48
2000_9,331.85,331.35,394.46,426.99,446.13,254.32,338.55,339.26,259.27,348.82,335.84,413.81,347.99,415.24,318.3,311.43,254.4,484.58,377.38,470.52,657.72,453.3,409.25,510.79,254.64,400.12,498.66,254.87,227.68
2000_10,332.38,331.92,394.13,426.48,445.56,254.47,339.13,339.77,259.41,349.13,336.4,413.35,348.4,414.75,318.17,311.32,254.55,483.53,377.41,469.77,656.61,452.54,408.84,509.91,254.75,399.76,497.9,255.0,227.77
