Unnamed: 0,0,1,2,3,4,5,6,7,8,9
2011_7,1011.28,1352.55,468.58,938.5,739.02,712.77,1028.04,796.2,842.04,1128.47
2011_8,1016.46,1358.01,472.08,943.75,744.19,717.03,1033.47,801.3,848.18,1133.78
2011_9,1021.4,1362.84,475.46,948.81,749.21,721.19,1038.63,806.19,853.74,1138.96
2011_10,1026.14,1367.71,478.8,953.54,754.27,725.14,1043.7,811.12,859.43,1143.8
2011_11,1030.81,1372.11,482.05,958.37,759.03,729.11,1048.67,815.93,864.91,1148.55
2011_12,1035.5,1376.77,485.29,963.12,763.8,733.09,1053.66,820.76,870.11,1153.44
2012_1,1042.22,1387.25,487.9,970.65,768.55,733.72,1062.8,826.42,875.64,1163.18
2012_2,1049.39,1398.58,489.9,978.64,773.74,734.5,1072.3,832.32,881.51,1173.7
2012_3,1056.26,1409.39,492.27,986.26,778.53,735.05,1081.51,837.94,886.78,1183.66
2012_4,1062.82,1420.0,494.5,993.77,783.43,735.45,1090.41,843.58,892.51,1193.24
2012_5,1069.49,1430.35,496.77,1001.23,788.27,736.01,1099.49,849.19,898.12,1203.11
2012_6,1075.9,1440.5,498.93,1008.47,792.94,736.34,1108.28,854.69,903.24,1212.6
2012_7,1082.63,1450.97,501.23,1016.0,797.76,736.88,1117.34,860.28,908.65,1222.44
2012_8,1088.87,1461.02,503.41,1023.19,802.46,737.21,1125.98,865.74,914.05,1231.87
2012_9,1095.56,1471.53,505.66,1030.65,807.31,737.69,1135.02,871.29,919.47,1241.61
2012_10,1101.99,1481.43,507.68,1038.04,811.88,737.96,1143.71,876.62,924.69,1250.94
2012_11,1107.99,1491.34,509.71,1044.83,816.31,738.3,1152.29,881.85,929.74,1259.99
2012_12,1115.22,1501.33,512.74,1053.51,821.69,739.55,1162.56,888.53,934.4,1272.31
2013_1,1311.94,1809.73,515.39,1233.07,899.4,793.15,1384.44,994.74,1017.5,1533.08
2013_2,1306.96,1805.12,514.01,1231.76,903.15,789.98,1386.76,998.55,1031.91,1522.54
2013_3,1314.06,1814.62,517.0,1237.27,907.72,792.85,1393.0,1003.17,1035.55,1530.74
2013_4,1317.65,1816.39,518.32,1245.32,913.88,795.21,1399.37,1009.39,1041.54,1531.88
2013_5,1319.93,1819.57,519.3,1247.4,918.53,795.59,1404.84,1015.18,1043.36,1537.28
2013_6,1325.79,1828.18,521.36,1253.49,925.44,797.65,1411.36,1021.77,1051.29,1543.91
2013_7,1343.0,1847.77,529.37,1267.52,937.53,805.8,1420.69,1031.62,1068.95,1567.51
2013_8,1339.3,1840.68,526.19,1266.88,936.16,802.71,1425.35,1032.91,1065.94,1559.79
2013_9,1340.74,1844.69,528.5,1270.64,941.85,804.13,1429.2,1037.99,1073.02,1561.9
2013_10,1345.23,1847.4,529.69,1275.74,946.68,805.22,1435.2,1042.86,1081.18,1566.14
2013_11,1351.73,1849.25,532.46,1280.32,953.33,807.37,1440.25,1048.43,1088.23,1577.39
2013_12,1367.55,1866.7,534.97,1292.8,958.78,813.45,1448.54,1054.22,1092.49,1597.46
2014_1,1367.64,1877.65,535.81,1292.25,962.63,813.07,1453.43,1058.3,1101.3,1600.49
2014_2,1365.3,1871.52,537.51,1295.57,963.82,815.86,1458.7,1060.76,1100.21,1592.23
2014_3,1375.89,1885.19,539.07,1304.7,968.22,820.71,1467.8,1065.64,1104.62,1602.75
2014_4,1382.88,1890.34,540.99,1310.11,971.32,824.66,1473.67,1069.27,1107.97,1608.41
2014_5,1393.23,1895.63,542.29,1314.12,975.08,829.48,1478.28,1074.21,1109.7,1628.11
2014_6,1403.46,1913.69,548.93,1325.8,983.87,836.16,1489.36,1080.5,1121.3,1636.05
2014_7,1405.54,1915.51,547.08,1325.26,984.07,837.17,1491.15,1081.95,1115.51,1631.05
2014_8,1401.87,1908.92,546.68,1326.93,982.22,837.04,1495.16,1082.82,1120.95,1629.7
2014_9,1404.84,1908.97,547.78,1330.78,984.84,840.4,1500.26,1085.4,1123.43,1633.47
2014_10,1418.03,1917.09,550.16,1337.7,988.6,843.84,1506.14,1089.72,1126.29,1647.74
2014_11,1431.84,1942.11,556.31,1349.87,998.26,853.36,1517.5,1097.62,1137.81,1669.28
2014_12,1435.31,1946.02,554.46,1351.21,997.18,854.26,1520.99,1098.56,1132.86,1672.69
2015_1,1417.16,1921.98,551.07,1340.42,988.78,845.44,1512.42,1089.68,1128.01,1645.96
2015_2,1415.11,1921.64,549.37,1335.99,982.16,842.34,1508.44,1083.87,1121.44,1645.05
2015_3,1409.67,1910.6,547.0,1331.09,974.25,839.3,1503.01,1076.52,1110.67,1637.6
2015_4,1412.73,1906.75,546.69,1328.3,969.64,837.98,1496.98,1070.93,1102.01,1646.31
2015_5,1401.53,1896.84,546.77,1321.6,966.2,833.15,1492.93,1067.27,1102.15,1632.23
2015_6,1394.31,1884.65,543.44,1313.07,958.41,827.77,1486.99,1059.81,1093.38,1620.0
2015_7,1391.28,1887.16,541.28,1307.46,953.01,824.07,1481.84,1053.97,1085.55,1617.4
2015_8,1380.8,1870.34,536.36,1299.48,941.8,817.38,1476.08,1044.24,1071.36,1609.46
2015_9,1378.13,1865.01,533.04,1295.01,933.23,813.74,1470.55,1037.23,1062.87,1603.82
2015_10,1373.06,1855.6,530.6,1288.12,926.08,810.21,1463.23,1029.45,1054.28,1597.35
2015_11,1363.51,1841.08,527.64,1279.77,917.42,805.11,1454.83,1021.81,1046.89,1586.29
2015_12,1365.22,1833.27,526.83,1275.81,912.8,801.57,1449.93,1015.92,1037.95,1582.04
2016_1,1370.23,1851.45,528.88,1282.0,916.28,802.39,1455.12,1018.52,1025.2,1602.72
2016_2,1367.79,1848.88,525.08,1279.04,915.37,795.33,1455.78,1018.14,1028.53,1597.4
2016_3,1362.92,1839.89,522.54,1278.14,912.25,789.53,1457.6,1017.85,1027.2,1592.83
2016_4,1360.22,1845.58,522.74,1280.96,912.97,787.09,1459.93,1017.88,1027.36,1592.21
2016_5,1358.07,1841.76,520.62,1280.61,912.8,782.72,1461.76,1018.73,1028.31,1592.21
2016_6,1357.53,1854.56,521.93,1282.38,917.22,778.82,1464.32,1021.97,1033.94,1600.36
2016_7,1367.27,1861.6,523.26,1286.76,919.44,778.19,1468.07,1023.74,1034.11,1610.2
2016_8,1366.64,1850.1,522.13,1286.68,918.85,774.91,1468.92,1022.68,1033.51,1601.69
2016_9,1356.19,1841.35,517.44,1283.9,913.0,766.42,1468.6,1020.09,1026.97,1599.14
2016_10,1355.6,1843.42,517.39,1283.98,913.29,763.1,1469.57,1020.04,1027.3,1599.3
2016_11,1362.52,1850.42,516.05,1287.51,914.43,760.52,1472.0,1020.71,1025.74,1618.69
